기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
삼성바이오로직스(2023/12),36946.0,11137.0,11137.0,11200.0,8577.0,8577.0,,160462.0,62157.0,98305.0,98305.0,,1779.0,16662.0,-15663.0,-6350.0,9951.0,6712.0,19093.0,30.14,23.21,9.12,5.26,63.23,5432.55,12051.0,63.07,138119.0,5.5,,,0.0,71174000.0
삼성바이오로직스(2024/12),45473.0,13201.0,13201.0,13701.0,10833.0,10833.0,,173363.0,64316.0,109047.0,109047.0,,1779.0,16593.0,-12438.0,-4338.0,13036.0,3557.0,14862.0,29.03,23.82,10.45,6.49,58.98,6041.38,15221.0,62.35,153212.0,6.19,,,,71174000.0
삼성바이오로직스(2025/12)(예측),56169.0,17133.0,,17353.0,13676.0,13732.0,,190557.0,68736.0,121821.0,121732.0,,1780.0,18813.0,-11074.0,525.0,7198.0,13216.0,,30.5,24.35,11.9,7.52,56.42,,19293.0,54.58,171035.0,6.16,0.0,0.0,,
삼성바이오로직스(2026/12)(예측),65059.0,19955.0,,20428.0,16203.0,16198.0,,211570.0,73594.0,137976.0,137934.0,,1780.0,21733.0,-9473.0,605.0,6630.0,17210.0,,30.67,24.91,12.48,8.06,53.34,,22759.0,46.27,193798.0,5.43,0.0,0.0,,
삼성바이오로직스(2027/12)(예측),73774.0,22926.0,,23917.0,18897.0,18897.0,,235281.0,78334.0,156947.0,156876.0,,1780.0,25931.0,-9399.0,69.0,5923.0,20218.0,,31.08,25.61,12.82,8.46,49.91,,26550.0,39.66,220412.0,4.78,0.0,0.0,,
현대차(2020/12),1039976.0,23947.0,23947.0,20933.0,19246.0,14244.0,5001.0,2093442.0,1330032.0,763410.0,694806.0,68603.0,14890.0,-4098.0,-93376.0,113525.0,46878.0,-50976.0,921948.0,2.3,1.85,2.04,0.95,174.22,4909.48,5144.0,37.33,266968.0,0.72,3000.0,1.56,55.15,213668187.0
현대차(2021/12),1176106.0,66789.0,66789.0,79596.0,56931.0,49424.0,7507.0,2339464.0,1513306.0,826158.0,749861.0,76297.0,14890.0,-11764.0,-51826.0,87923.0,43043.0,-54808.0,1087992.0,5.68,4.84,6.84,2.57,183.17,5187.27,17846.0,11.71,289609.0,0.72,5000.0,2.39,26.32,213668187.0
현대차(2022/12),1421515.0,98249.0,98249.0,111815.0,79836.0,73644.0,6192.0,2557425.0,1648459.0,908965.0,823493.0,85473.0,14890.0,106273.0,-12035.0,-13245.0,40150.0,66123.0,1134830.0,6.91,5.62,9.36,3.26,181.36,5654.49,26592.0,5.68,315142.0,0.48,7000.0,4.64,24.85,213668187.0
현대차(2023/12),1626636.0,151269.0,151269.0,176187.0,122723.0,119617.0,3106.0,2824634.0,1806539.0,1018094.0,924973.0,93121.0,14890.0,-25188.0,-86494.0,93934.0,70708.0,-95895.0,1258465.0,9.3,7.54,13.68,4.56,177.44,6248.81,43589.0,4.67,351861.0,0.58,11400.0,5.6,25.07,211531506.0
현대차(2024/12),1752312.0,142396.0,142396.0,177814.0,132299.0,125267.0,7032.0,3397984.0,2195225.0,1202759.0,1091034.0,111725.0,14890.0,-56616.0,-146235.0,194933.0,80613.0,-137230.0,1577910.0,8.13,7.55,12.43,4.25,182.52,7001.51,46042.0,4.6,413568.0,0.51,12000.0,5.66,25.13,209416191.0
현대차(2025/12)(예측),1824126.0,136860.0,,169383.0,127686.0,120463.0,,3557188.0,2281085.0,1276103.0,1161144.0,,14869.0,133054.0,-97305.0,19487.0,73755.0,49810.0,,7.5,7.0,10.7,3.67,178.75,,45057.0,4.28,456684.0,0.42,12315.0,6.39,21.41,
현대차(2026/12)(예측),1874412.0,138149.0,,170873.0,128988.0,121975.0,,3689346.0,2316732.0,1372614.0,1250975.0,,14851.0,139240.0,-104212.0,8627.0,78184.0,53890.0,,7.37,6.88,10.11,3.56,168.78,,45961.0,4.19,492015.0,0.39,12470.0,6.47,21.41,
현대차(2027/12)(예측),1925558.0,140584.0,,172993.0,130886.0,123588.0,,3927000.0,2440826.0,1486174.0,1350442.0,,14832.0,171485.0,-144988.0,49867.0,90471.0,60902.0,,7.3,6.8,9.5,3.44,164.24,,46568.0,4.14,531136.0,0.36,12497.0,6.48,21.18,
한화에어로스페이스(2020/12),53214.0,2439.0,2439.0,1718.0,1647.0,1214.0,433.0,94648.0,64751.0,29897.0,25977.0,3920.0,2656.0,4348.0,-2987.0,1990.0,1894.0,2454.0,24781.0,4.58,3.1,4.78,1.81,216.58,750.6,2388.0,11.93,51329.0,0.56,600.0,2.11,25.01,50630000.0
한화에어로스페이스(2021/12),55414.0,2771.0,2771.0,2894.0,3018.0,2526.0,492.0,110458.0,71143.0,39316.0,28892.0,10423.0,2656.0,9900.0,-6071.0,8131.0,1661.0,8239.0,27806.0,5.0,5.45,9.21,2.94,180.95,843.51,4989.0,9.62,57134.0,0.84,700.0,1.46,14.01,50630000.0
한화에어로스페이스(2022/12),70604.0,4003.0,4003.0,1954.0,1466.0,1954.0,-488.0,151518.0,112335.0,39183.0,28574.0,10610.0,2656.0,15243.0,-12249.0,2161.0,1967.0,13276.0,37030.0,5.67,2.08,6.8,1.12,286.69,840.08,3858.0,19.07,56504.0,1.3,1000.0,1.36,25.89,50630000.0
한화에어로스페이스(2023/12),78897.0,5943.0,5943.0,11308.0,9769.0,8175.0,1594.0,195429.0,148587.0,46842.0,35284.0,11559.0,2656.0,13902.0,-30291.0,3678.0,4534.0,9369.0,42376.0,7.53,12.38,25.6,5.63,317.21,1061.27,16147.0,7.71,69773.0,1.78,1800.0,1.45,11.13,50630000.0
한화에어로스페이스(2024/12),112401.0,17319.0,17319.0,26474.0,25399.0,22989.0,2409.0,433369.0,319726.0,113643.0,49951.0,63692.0,2404.0,13930.0,-13673.0,10657.0,5782.0,8148.0,107639.0,15.41,22.6,53.94,8.08,281.34,2060.36,46942.0,6.96,109864.0,2.97,3500.0,1.07,6.92,45581161.0
한화에어로스페이스(2025/12)(예측),225475.0,27136.0,,23795.0,19003.0,16677.0,,425596.0,294378.0,131218.0,80674.0,,2526.0,11172.0,-14776.0,9535.0,11240.0,-2434.0,,12.04,8.43,25.53,4.42,224.34,,35675.0,22.68,170986.0,4.73,3250.0,0.4,8.88,
한화에어로스페이스(2026/12)(예측),247524.0,32715.0,,29841.0,23696.0,20603.0,,461867.0,308153.0,153713.0,99769.0,,2526.0,28720.0,-16179.0,-3888.0,12633.0,17747.0,,13.22,9.57,22.84,5.34,200.47,,43561.0,18.57,211457.0,3.83,3643.0,0.45,8.06,
한화에어로스페이스(2027/12)(예측),310292.0,42376.0,,40031.0,31955.0,26670.0,,635579.0,417673.0,217906.0,131720.0,,2569.0,47494.0,-13041.0,-1911.0,11377.0,35074.0,,13.66,10.3,23.04,5.82,191.68,,56390.0,14.35,279177.0,2.9,4359.0,0.54,7.45,
셀트리온(2020/12),18491.0,7186.0,7186.0,6572.0,5257.0,5178.0,79.0,50201.0,15925.0,34276.0,33077.0,1199.0,1350.0,3507.0,-4720.0,2660.0,870.0,2637.0,7744.0,38.86,28.43,17.07,11.84,46.46,2446.72,3389.0,95.67,21804.0,14.87,0.0,0.0,0.0,152916680.0
셀트리온(2021/12),18934.0,7442.0,7442.0,7386.0,5958.0,5795.0,163.0,56741.0,16237.0,40504.0,39172.0,1331.0,1379.0,9112.0,-3558.0,-693.0,634.0,8478.0,7444.0,39.3,31.47,16.04,11.14,40.09,2833.54,3784.0,48.14,25789.0,7.06,675.0,0.37,17.68,153221262.0
