기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
HMM,117475.66666666667,36095.666666666664,39001.333333333336,298398.8333333333,245382.0,37585.333333333336,49442.166666666664,38438.833333333336,26.25333333333333,29.076666666666668,20.035,15.271666666666667,21.641666666666666,6585.0,5.473333333333334,33260.833333333336,0.5666666666666668,751706162.6666666
HS효성첨단소재,33632.666666666664,2204.0,846.6666666666666,34553.166666666664,9960.833333333334,224.0,3404.8333333333335,18538.833333333332,6.5,2.465,7.928333333333332,2.6533333333333338,250.0916666666667,13568.333333333334,23.113333333333333,201470.16666666666,1.49,4479948.0
JB금융지주,42423.833333333336,8573.5,6508.5,644669.8333333334,53615.666666666664,9849.0,-7738.0,136087.0,20.463333333333335,15.520000000000001,12.770000000000001,1.0333333333333334,1105.2083333333333,3234.6666666666665,4.053333333333334,27305.833333333332,0.47833333333333333,196033046.0
KB금융,822173.5,70325.16666666667,46783.0,7322753.5,584709.6666666666,20906.0,41731.166666666664,1250010.8333333333,8.538333333333334,5.69,8.606666666666667,0.6533333333333333,1152.49,11818.333333333334,5.6499999999999995,149977.66666666666,0.45,399417413.5
KCC,65546.66666666667,4176.666666666667,1822.6666666666667,131918.83333333334,52606.666666666664,481.0,6252.666666666667,52741.333333333336,6.341666666666666,2.765,4.528333333333333,1.38,151.16166666666666,26086.166666666668,15.498333333333335,693267.6666666666,0.325,8886471.0
KG모빌리티,37685.666666666664,-138.0,98.5,27646.0,12533.0,9584.0,277.1666666666667,2488.6666666666665,-0.4116666666666666,0.22166666666666665,-0.3933333333333329,0.20000000000000004,120.955,-75.0,69.36851540616247,6521.166666666667,1.01,191680139.0
KT,262827.0,12363.666666666666,7694.0,420067.8333333333,182544.0,15645.0,49668.5,114525.33333333333,4.711666666666667,2.9416666666666664,4.773333333333333,1.873333333333333,130.145,3026.5,15.964999999999998,66441.66666666667,0.5866666666666667,255483063.83333334
KT&G,58838.333333333336,11947.666666666666,10575.166666666666,132703.83333333334,93373.16666666667,9550.0,9811.333333333334,9951.0,20.30666666666667,17.966666666666665,11.416666666666666,8.218333333333334,42.11166666666666,7925.666666666667,12.406666666666666,83292.0,1.1716666666666666,130170830.33333333
LG,72671.83333333333,13366.333333333334,12193.166666666666,308429.6666666667,274441.6666666667,8016.0,10818.166666666666,6898.166666666667,18.35166666666667,16.75,4.123333333333333,4.123333333333333,12.383333333333335,6472.666666666667,14.735,170475.83333333334,0.4566666666666667,157300993.0
LG디스플레이,247765.5,-14645.333333333334,-25961.5,342972.3333333333,88464.33333333333,21445.5,22686.333333333332,153489.16666666666,-6.306666666666666,-10.588333333333333,-33.70666666666667,-7.3549999999999995,291.9716666666667,-6313.666666666667,-1.6550988967369804,16790.5,0.64,447959092.0
