기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
디엔에프,988.35,50.8,58.5,1724.65,1496.1,57.6,94.9,-34.65,118.75,3.7055,5.554499999999999,4.406673913043478,3.384216112531969,15.920499999999999,530.25,71.899,12846.75,1.3285,11490855.0
라온테크,426.4,39.2,46.0,475.95,257.35,53.0,56.3,38.7,110.8,8.6675,10.2265,22.670221362229103,10.454716612377851,116.0625,375.0,31.385999999999996,2118.65,5.225499999999999,12326109.3
램테크놀러지,490.7,10.55,4.45,878.8,472.6,69.95,11.45,-73.15,356.45,1.2220000000000006,-0.027500000000000212,1.3579999999999994,1.0755000000000003,85.6235,36.8,-0.07532750364641885,3365.15,1.6010000000000002,13781972.9
러셀,429.25,30.85,34.8,738.5,546.1,32.0,18.05,16.65,67.8,7.0825000000000005,8.102,7.353621359223301,4.935257009345794,35.321,119.35,26.0375,1837.7,1.5309999999999997,31812000.0
로체시스템즈,1378.25,171.2,121.8,1385.85,1053.7,76.0,109.5,67.65,49.7,12.5215,8.930000000000001,12.484,9.129,33.2055,794.9,13.248,7062.8,1.378,15296603.0
리노공업,2740.0,1185.35,1057.05,5553.55,5210.8,76.0,1119.2,787.2,2.15,43.1965,38.46849999999999,21.924,20.4165,6.853,6934.25,26.9195,34329.0,5.427499999999999,15242370.0
마이크로컨텍솔,624.7,78.45,77.1,622.9,528.4,42.0,74.0,31.2,10.3,12.206500000000002,11.893,15.298000000000002,12.9215,18.305,926.7,13.265,6348.15,1.4689999999999999,8312766.0
매커스,1722.85,258.2,201.6,2848.05,958.3,81.0,91.95,90.8,191.85,14.904500000000002,11.833499999999999,22.8125,9.4845,185.727,1239.85,7.438,9189.35,1.0005000000000002,16163092.0
메카로,539.4,2.35,105.95,1949.85,1787.95,51.0,46.2,-201.0,15.75,-1.2440000000000004,19.174,6.4295,5.625500000000001,9.172999999999998,1063.5,-10.580631713965046,18137.55,0.5974999999999999,10183600.0
미래산업,361.7,26.35,-38.4,1196.95,886.8,134.9,24.75,-82.0,160.65,0.8699999999999989,-25.3385,-4.8215,-3.4010000000000007,35.951499999999996,-112.4,2.348497408681952,2250.8,0.6435000000000001,41012969.7
미코,4234.5,635.6,212.7,9321.6,4060.0,166.0,799.35,-257.75,3405.85,14.7285,4.224,-7.278499999999999,2.105,125.2275,-413.85,0.5108594961995188,3747.75,2.7735,33206760.5
브이엠,918.85,119.1,120.95,1524.35,1175.05,24.0,105.35,75.55,144.85,-2.0985000000000014,2.1914999999999996,12.4875,9.7205,29.797000000000004,518.75,-22.679754578754576,5121.95,2.588,23925495.0
